Headlines,Time,Description
TikTok considers London and other locations for headquarters,Jul 18 2020,"TikTok has been in discussions with the UK government over the past few months to locate its headquarters in London, a source familiar with the matter said, as part of a strategy to distance itself from its Chinese ownership."
Disney cuts ad spending on Facebook amid growing boycott: WSJ,Jul 18 2020,"Walt Disney  has become the latest company to slash its advertising spending on Facebook Inc  as the social media giant faces an ad boycott over its handling of hate speech and controversial content, the Wall Street Journal reported on Saturday, citing people familiar with the situation."
"Trail of missing Wirecard executive leads to Belarus, Der Spiegel reports",Jul 18 2020,"Former Wirecard  chief operating officer Jan Marsalek travelled to Minsk soon after he was suspended and may still be in Belarus or Russia, a German magazine reported on Saturday."
Twitter says attackers downloaded data from up to eight non-verified accounts,Jul 18 2020,"Twitter Inc said on Saturday that hackers were able to download account information for up to eight accounts involved in the hack of its systems this week, but said none of them were verified accounts."
U.S. Republicans seek liability protections as coronavirus aid battle looms,Jul 17 2020,A battle in the U.S. Congress over a new coronavirus-aid bill began on Friday as Republicans were putting the finishing touches on provisions granting liability protections for a wide range of entities resuming operations amid the pandemic.
Wall Street Week Ahead: Fund managers navigate 'Night of the Living Dead' in small caps,Jul 17 2020,"Investors are searching for bargains in the world of U.S. small-caps, as the beaten-down asset class prepares for what may be the worst earnings season in its history amid a resurgent coronavirus pandemic."
Take Five: Hoping for that V-shape in earnings,Jul 17 2020,"We knew Q2 earnings would be dire but the hope was a) they might turn out to be better than feared and b) companies could offer guidance on the outlook. So while expectations are for European Q2 earnings to slump 50%-plus, there's margin for error."
Evictions nearly back to pre-pandemic levels in some U.S. areas: Cleveland Fed study,Jul 17 2020,"Landlords in some areas of the United States are filing to evict rent-delinquent tenants at roughly the same rate they were before the coronavirus pandemic as eviction bans across the country begin to expire, research from the Federal Reserve Bank of Cleveland showed on Friday."
Google bans ads on coronavirus conspiracy theory content,Jul 17 2020,Alphabet Inc's Google said on Friday it would prohibit websites and apps that use its advertising technology from running ads on "dangerous content" that goes against scientific consensus during the coronavirus pandemic.
"Flight to suburbs boosts U.S. homebuilding, but COVID-19 surge erodes consumer sentiment",Jul 17 2020,U.S. homebuilding increased in June by the most in nearly four years amid reports of rising demand for housing in suburbs and rural areas as companies allow employees to work from home during the COVID-19 pandemic.
Delta will avoid pilot furloughs if they agree to reduced minimum pay: memo,Jul 17 2020,"Delta Air Lines told pilots on Friday it would avoid furloughs if they agreed to reduced guaranteed minimum pay, according to a memo seen by Reuters."
S&P 500 ends higher as traders weigh stimulus and virus worries,Jul 17 2020,The S&P 500 ended higher on Friday as investors weighed the prospect of more fiscal stimulus against fears of further business disruptions due to a record rise in COVID-19 cases.
FTC considering deposing top Facebook executives in antitrust probe: WSJ,Jul 17 2020,"The U.S. Federal Trade Commission is considering taking sworn testimony from Facebook Inc's  top executives Mark Zuckerberg and Sheryl Sandberg as a part of its probe into whether the company has engaged in unlawful monopolistic practices, the Wall Street Journal reported on Friday."
Where did all the bulls go? Rallies stall as EU summit begins,Jul 17 2020,Global equity benchmarks treaded water on Friday and government bond yields edged lower as investors waited on the European Union to iron out details of an expected 750 billion-euro recovery fund that could provide another round of stimulus as the world economy reels from the coronavirus pandemic.
BlackRock profit beats Street estimates as markets rebound,Jul 17 2020,"BlackRock Inc's  results topped Wall Street estimates on Friday, helped by investors flocking to the world's largest asset manager's bond funds in the second quarter as global financial markets rebounded strongly from a COVID-sparked brutal selloff in March."
"Dollar falls, euro hovers at four-month high as EU negotiates rescue fund",Jul 17 2020,"The dollar was broadly lower on Friday as the euro rose to just under a four-month high, with negotiations underway between European Union leaders on a recovery fund that could lift the bloc out of the current recession."
Boohoo tells UK Home Secretary it is probing charges of malpractice in supply chain,Jul 17 2020,"Fashion retailer Boohoo Group Plc  wrote a letter to UK Home Secretary Priti Patel, saying that the company is taking action to probe allegations of malpractice in its supply chain and that it asks for the government to take action as well."
"Exclusive: EU in talks with Moderna, BioNtech, CureVac to secure possible COVID vaccines",Jul 17 2020,"The European Union is negotiating advance purchase deals of potential COVID-19 vaccines with drugmakers Moderna , Sanofi  and Johnson & Johnson  as well as biotech firms BioNtech  and CureVac, two EU sources told Reuters."
"Former Pemex boss arrives back in Mexico for graft trial, enters hospital",Jul 17 2020,A former boss of Mexico's state oil company Petroleos Mexicanos facing corruption charges that could envelop leaders of the last government was taken to a hospital early on Friday shortly after his overnight extradition to Mexico from Spain.
Twitter says about 130 accounts were targeted in cyber attack this week,Jul 17 2020,"Twitter Inc disclosed late on Thursday that hackers targeted about 130 accounts during the cyber attack this week, an incident in which profiles of many prominent personalities and organizations were compromised."
Senator asks Twitter about claim worker was paid to help with hack,Jul 17 2020,"Senator Josh Hawley, a Republican who closely follows tech issues, pressed Twitter Chief Executive Jack Dorsey on Friday on whether a company employee had been paid to assist with a hack of high-profile accounts this week aimed at scamming readers."
Treasury's Mnuchin open to blanket forgiveness for smaller business relief loans,Jul 17 2020,U.S. Treasury Secretary Steven Mnuchin said Friday policymakers should consider blanket forgiveness for all smaller businesses that received "Paycheck Protection Program" loans.
"On eve of bankruptcy, U.S. firms shower execs with bonuses",Jul 17 2020,"Nearly a third of more than 40 large companies seeking U.S. bankruptcy protection during the coronavirus pandemic awarded bonuses to executives within a month of filing their cases, according to a Reuters analysis of securities filings and court records."
Rival parties take aim at Germany's Scholz over Wirecard scandal,Jul 17 2020,Germany's Social Democrat Finance Minister Olaf Scholz is facing calls from rival parties to account for the regulatory failures that led to the collapse of Wirecard after it emerged he knew of concerns about the company 18 months ago.
"U.S. economy faces significant risks, long road to recovery: IMF staff",Jul 17 2020,"The U.S. economy is forecast to shrink by 6.6% in 2020 due to the shock of the coronavirus pandemic, but a resurgence in coronavirus infections and a systemic increase in poverty could worsen that outlook, the staff of the International Monetary Fund warned on Friday."
Euro zone shares flat as EU recovery plan awaited; Ericsson soars,Jul 17 2020,Euro zone shares were little changed on Friday as investors awaited the outcome of an European Union summit where leaders are expected to hammer out details of a 750-billion-euro ($858 billion) recovery fund.
Cohen's Point72 to open Warsaw office for some back office teams,Jul 17 2020,Billionaire investor Steven A. Cohen's Point72 Asset Management is opening the $16.2 billion firm's latest satellite location in Warsaw and moving some back office operations to lower-cost Poland.
"In Utah, a debate stirs over Estonian radioactive waste",Jul 17 2020,(This July 16 story has been refiled to fix spelling of 'whether' in paragraph 2)
End of the jumbo: British Airways retires 747 early due to coronavirus crisis,Jul 17 2020,"British Airways, the world's largest operator of Boeing 747s, will retire its entire jumbo jet fleet with immediate effect after the COVID-19 pandemic sent air travel into freefall."
"Fed opens 'Main Street' loan program to nonprofits, eases terms",Jul 17 2020,"The U.S. Federal Reserve on Friday opened its ""Main Street"" loan program to nonprofits, allowing education, health, social service and other groups with as few as 10 employees to tap central bank funding."
"As big U.S. banks let customers delay payments, loan losses remain unclear",Jul 17 2020,"Major U.S. bank executives this week said they extended forbearance programs to millions of credit card, auto loan and mortgage customers who were financially hard hit by the coronavirus pandemic."
"UBS, Morgan Stanley expected to lead Vodafone Tower IPO: sources",Jul 17 2020,"UBS  and Morgan Stanley  are expected to organise the lucrative listing of Vodafone's European towers unit - a deal that could value the entire business at up to 16 billion euros ($18 billion), sources familiar with the matter said."
Exclusive: Thyssenkrupp to explore further options for boosting finances - memo,Jul 17 2020,"Thyssenkrupp  is seeking new ways to strengthen its balance sheet, including through state aid programmes, after its finances took a hit during the coronavirus crisis, according to a company memo seen by Reuters on Friday."
Icelandair to sack cabin crew but keep flying after failed talks,Jul 17 2020,"Icelandair  will sack its cabin crew and put pilots in charge of onboard safety after negotiations on a collective-bargaining agreement failed between the airline and the cabin crew labour association, the company said on Friday."
Economic recovery further away than markets think: BlackRock CEO Fink,Jul 17 2020,"The U.S. economy is going to take longer to recover from the hit from the coronavirus pandemic than the market expects, and more stimulus is critical, BlackRock Inc  Chief Executive Larry Fink said on Wednesday."
EasyJet pilots say they have no confidence in COO in union vote,Jul 17 2020,"Over 2,000 easyJet  pilots voted to say they had no confidence in the airline's chief operating officer Peter Bellew, illustrating the strain on labour relations as the company tries to cut jobs."
Exclusive: HSBC sheds top talent as global equities boss leaves - sources,Jul 17 2020,"HSBC's  global equities chief Hossein Zaimi is leaving the bank, two sources with direct knowledge of the matter said on Friday, in the latest revamp of the lender's troubled investment banking operations."
Lloyds Bank sets target to increase number of senior Black staff,Jul 17 2020,Britain's biggest domestic bank Lloyds  has set a target to increase the number of Black staff in senior roles to at least 3% by 2025 from just 0.6% now.
Wall Street analysts look past Netflix's weak subscriber forecast,Jul 17 2020,"Wall Street analysts shrugged off Netflix Inc's  weak third-quarter subscriber forecast, as it racked up a record number of users in the first half of the year, allaying worries about competition from new players such as Disney+ and HBO MAX."
Exclusive: Pact to aid poor cocoa farmers in peril as COVID-19 hits demand,Jul 17 2020,"The steepest dive in cocoa demand in a decade has thrown into jeopardy a plan by top producers Ivory Coast and Ghana to guarantee some two million farmers a living wage, sources within the countries' regulators said."
